city,state_id,state,county,lat,long,population,density,military,incorporated,capital,timezone,ranking,zips
Willowbrook,CA,California,Los Angeles,33.9199,-118.2362,22811,5694,FALSE,FALSE,FALSE,America/Los_Angeles,2,2
Morton Grove,IL,Illinois,Cook,42.0423,-87.789,22796,1729,FALSE,TRUE,FALSE,America/Chicago,3,1
Keene,NH,New Hampshire,Cheshire,42.9494,-72.2997,22786,237,FALSE,TRUE,FALSE,America/New_York,3,2
Marina,CA,California,Monterey,36.6812,-121.7895,22781,989,FALSE,TRUE,FALSE,America/Los_Angeles,3,1
Solon,OH,Ohio,Cuyahoga,41.3864,-81.4401,22779,431,FALSE,TRUE,FALSE,America/New_York,3,1
New Brighton,MN,Minnesota,Ramsey,45.0658,-93.206,22753,1352,FALSE,TRUE,FALSE,America/Chicago,3,1
Mandan,ND,North Dakota,Morton,46.829,-100.887,22752,650,FALSE,TRUE,FALSE,America/North_Dakota/New_Salem,3,1
Elizabeth City,NC,North Carolina,Pasquotank,36.2943,-76.2361,22711,586,FALSE,TRUE,FALSE,America/New_York,3,3
Harriman,TN,Tennessee,Roane,35.9307,-84.5602,22708,225,FALSE,TRUE,FALSE,America/New_York,3,1
Ives Estates,FL,Florida,Miami-Dade,25.9632,-80.183,22707,3442,FALSE,FALSE,FALSE,America/New_York,2,1
Fairhope,AL,Alabama,Baldwin,30.5217,-87.8815,22677,626,FALSE,TRUE,FALSE,America/Chicago,3,1
Cottage Lake,WA,Washington,King,47.7466,-122.0755,22677,384,FALSE,FALSE,FALSE,America/Los_Angeles,3,2
Machesney Park,IL,Illinois,Winnebago,42.3666,-89.0266,22677,690,FALSE,TRUE,FALSE,America/Chicago,3,1
Braidwood,IL,Illinois,Will,41.2696,-88.2235,22670,450,FALSE,TRUE,FALSE,America/Chicago,3,3
Hurricane,UT,Utah,Washington,37.1487,-113.3517,22666,139,FALSE,TRUE,FALSE,America/Denver,3,1
Trussville,AL,Alabama,Jefferson,33.6404,-86.5819,22635,254,FALSE,TRUE,FALSE,America/Chicago,3,2
Johnston,IA,Iowa,Polk,41.6857,-93.7173,22582,520,FALSE,TRUE,FALSE,America/Chicago,3,1
Corcoran,CA,California,Kings,36.0839,-119.561,22581,1150,FALSE,TRUE,FALSE,America/Los_Angeles,3,1
Meadville,PA,Pennsylvania,Crawford,41.6476,-80.1468,22580,1117,FALSE,TRUE,FALSE,America/New_York,3,2
Landover,MD,Maryland,Prince George's,38.9241,-76.8875,22553,2177,FALSE,FALSE,FALSE,America/New_York,2,2
Happy Valley,OR,Oregon,Clackamas,45.4362,-122.5077,22553,765,FALSE,TRUE,FALSE,America/Los_Angeles,3,3
East Peoria,IL,Illinois,Tazewell,40.6734,-89.5419,22546,430,FALSE,TRUE,FALSE,America/Chicago,3,3
Hopewell,VA,Virginia,Hopewell,37.2915,-77.2985,22529,840,FALSE,TRUE,FALSE,America/New_York,3,1
Fort Walton Beach,FL,Florida,Okaloosa,30.4249,-86.6194,22521,1136,FALSE,TRUE,FALSE,America/Chicago,3,3
Nixa,MO,Missouri,Christian,37.0453,-93.296,22515,953,FALSE,TRUE,FALSE,America/Chicago,3,1
Munster,IN,Indiana,Lake,41.5469,-87.504,22476,1150,FALSE,TRUE,FALSE,America/Chicago,3,1
Christiansburg,VA,Virginia,Montgomery,37.1411,-80.4028,22473,615,FALSE,TRUE,FALSE,America/New_York,3,2
Anthem,AZ,Arizona,Maricopa,33.856,-112.1168,22468,1096,FALSE,FALSE,FALSE,America/Phoenix,3,1
Roselle,IL,Illinois,DuPage,41.9807,-88.0861,22463,1585,FALSE,TRUE,FALSE,America/Chicago,3,1
The Crossings,FL,Florida,Miami-Dade,25.6708,-80.4018,22441,2508,FALSE,FALSE,FALSE,America/New_York,2,1
Warrensburg,MO,Missouri,Johnson,38.7627,-93.726,22410,838,FALSE,TRUE,FALSE,America/Chicago,3,1
Kihei,HI,Hawaii,Maui,20.7653,-156.4454,22402,923,FALSE,FALSE,FALSE,Pacific/Honolulu,3,1
Millbrae,CA,California,San Mateo,37.5994,-122.4023,22394,2659,FALSE,TRUE,FALSE,America/Los_Angeles,2,1
Florida Ridge,FL,Florida,Indian River,27.5805,-80.3848,22372,802,FALSE,FALSE,FALSE,America/New_York,3,1
Silver Firs,WA,Washington,Snohomish,47.8635,-122.1497,22358,1259,FALSE,FALSE,FALSE,America/Los_Angeles,3,3
Dolton,IL,Illinois,Cook,41.6284,-87.5979,22348,1887,FALSE,TRUE,FALSE,America/Chicago,3,1
Duncan,OK,Oklahoma,Stephens,34.5424,-97.919,22344,201,FALSE,TRUE,FALSE,America/Chicago,3,3
Brent,FL,Florida,Escambia,30.4729,-87.2496,22337,831,FALSE,FALSE,FALSE,America/Chicago,3,3
Northfield,MN,Minnesota,Rice,44.455,-93.1698,22325,942,FALSE,TRUE,FALSE,America/Chicago,3,1
Sequim,WA,Washington,Clallam,48.0746,-123.0944,22304,466,FALSE,TRUE,FALSE,America/Los_Angeles,3,1
Prairie Village,KS,Kansas,Johnson,38.9874,-94.6361,22295,1386,FALSE,TRUE,FALSE,America/Chicago,3,2
Kuna,ID,Idaho,Ada,43.4869,-116.3986,22292,434,FALSE,TRUE,FALSE,America/Boise,3,2
Coralville,IA,Iowa,Johnson,41.699,-91.5967,22290,685,FALSE,TRUE,FALSE,America/Chicago,3,1
Fort Mill,SC,South Carolina,York,35.0062,-80.9388,22284,441,FALSE,TRUE,FALSE,America/New_York,3,2
Rose Hill,VA,Virginia,Fairfax,38.7872,-77.1085,22252,1529,FALSE,FALSE,FALSE,America/New_York,3,2
Lutz,FL,Florida,Hillsborough,28.1396,-82.4467,22235,351,FALSE,FALSE,FALSE,America/New_York,3,5
Taylors,SC,South Carolina,Greenville,34.9157,-82.3124,22230,812,FALSE,FALSE,FALSE,America/New_York,3,1
Roanoke Rapids,NC,North Carolina,Halifax,36.4452,-77.6491,22225,557,FALSE,TRUE,FALSE,America/New_York,3,1
Vega Baja,PR,Puerto Rico,Vega Baja,18.441,-66.3993,22211,1376,FALSE,FALSE,FALSE,America/Puerto_Rico,3,1
Raymore,MO,Missouri,Cass,38.8029,-94.4583,22194,494,FALSE,TRUE,FALSE,America/Chicago,3,1
Ensley,FL,Florida,Escambia,30.5261,-87.2735,22194,703,FALSE,FALSE,FALSE,America/Chicago,3,2
Mukwonago,WI,Wisconsin,Waukesha,42.8566,-88.3269,22185,383,FALSE,TRUE,FALSE,America/Chicago,3,2
East Patchogue,NY,New York,Suffolk,40.7704,-72.9817,22172,1028,FALSE,FALSE,FALSE,America/New_York,3,1
Pickerington,OH,Ohio,Fairfield,39.889,-82.7678,22158,868,FALSE,TRUE,FALSE,America/New_York,3,1
Arvin,CA,California,Kern,35.1944,-118.8306,22155,1750,FALSE,TRUE,FALSE,America/Los_Angeles,3,1
Lino Lakes,MN,Minnesota,Anoka,45.1679,-93.083,22119,302,FALSE,TRUE,FALSE,America/Chicago,3,2
Corinth,TX,Texas,Denton,33.1435,-97.0681,22099,1095,FALSE,TRUE,FALSE,America/Chicago,3,2
Naples,FL,Florida,Collier,26.1504,-81.7936,22088,693,FALSE,TRUE,FALSE,America/New_York,3,6
West Carson,CA,California,Los Angeles,33.8229,-118.2931,22079,3762,FALSE,FALSE,FALSE,America/Los_Angeles,2,2
Maple Heights,OH,Ohio,Cuyahoga,41.4094,-81.5625,22078,1648,FALSE,TRUE,FALSE,America/New_York,3,1
Lealman,FL,Florida,Pinellas,27.8197,-82.6847,22034,2112,FALSE,FALSE,FALSE,America/New_York,2,4
Gardner,KS,Kansas,Johnson,38.8158,-94.93,22031,826,FALSE,TRUE,FALSE,America/Chicago,3,1
Union Hill-Novelty Hill,WA,Washington,King,47.6788,-122.0284,21992,350,FALSE,TRUE,FALSE,America/Los_Angeles,3,2
Hayesville,OR,Oregon,Marion,44.9794,-122.9739,21979,2802,FALSE,FALSE,FALSE,America/Los_Angeles,2,1
Siloam Springs,AR,Arkansas,Benton,36.1844,-94.5318,21975,580,FALSE,TRUE,FALSE,America/Chicago,3,1
Piqua,OH,Ohio,Miami,40.1505,-84.2441,21936,707,FALSE,TRUE,FALSE,America/New_York,3,1
Fish Hawk,FL,Florida,Hillsborough,27.8511,-82.2164,21929,522,FALSE,FALSE,FALSE,America/New_York,3,2
Port Hueneme,CA,California,Ventura,34.1617,-119.2036,21926,1913,FALSE,TRUE,FALSE,America/Los_Angeles,3,3
Summit,NJ,New Jersey,Union,40.7154,-74.3647,21897,1410,FALSE,TRUE,FALSE,America/New_York,3,2
Secaucus,NJ,New Jersey,Hudson,40.781,-74.0659,21893,1450,FALSE,TRUE,FALSE,America/New_York,3,2
Golden Valley,MN,Minnesota,Hennepin,44.9901,-93.3591,21886,828,FALSE,TRUE,FALSE,America/Chicago,3,4
Jasmine Estates,FL,Florida,Pasco,28.293,-82.6907,21865,2378,FALSE,FALSE,FALSE,America/New_York,2,1
Camp Springs,MD,Maryland,Prince George's,38.8052,-76.9198,21841,1098,FALSE,FALSE,FALSE,America/New_York,3,3
Lennox,CA,California,Los Angeles,33.938,-118.3586,21818,7703,FALSE,FALSE,FALSE,America/Los_Angeles,2,1
Sunny Isles Beach,FL,Florida,Miami-Dade,25.9385,-80.1246,21804,8330,FALSE,TRUE,FALSE,America/New_York,2,1
Rancho San Diego,CA,California,San Diego,32.7624,-116.9197,21799,967,FALSE,FALSE,FALSE,America/Los_Angeles,3,1
Massapequa,NY,New York,Nassau,40.6676,-73.4706,21784,2363,FALSE,FALSE,FALSE,America/New_York,2,1
Shafter,CA,California,Kern,35.4794,-119.2013,21734,203,FALSE,TRUE,FALSE,America/Los_Angeles,3,2
Eastmont,WA,Washington,Snohomish,47.8968,-122.1817,21733,1640,FALSE,FALSE,FALSE,America/Los_Angeles,3,1
Katy,TX,Texas,Harris,29.7904,-95.8353,21729,576,FALSE,TRUE,FALSE,America/Chicago,3,3
Brownwood,TX,Texas,Brown,31.7127,-98.9767,21729,476,FALSE,TRUE,FALSE,America/Chicago,3,3
Del City,OK,Oklahoma,Oklahoma,35.4483,-97.4408,21712,1115,FALSE,TRUE,FALSE,America/Chicago,3,2
North Bay Shore,NY,New York,Suffolk,40.7601,-73.2618,21679,2604,FALSE,TRUE,FALSE,America/New_York,2,1
Silverdale,WA,Washington,Kitsap,47.6663,-122.6828,21677,662,FALSE,FALSE,FALSE,America/Los_Angeles,3,3
Kapolei,HI,Hawaii,Honolulu,21.3403,-158.0665,21674,2022,FALSE,FALSE,FALSE,Pacific/Honolulu,2,1
Allendale,MI,Michigan,Ottawa,42.9851,-85.9509,21672,368,FALSE,FALSE,FALSE,America/Detroit,3,2
Darien,IL,Illinois,DuPage,41.7447,-87.9823,21628,1346,FALSE,TRUE,FALSE,America/Chicago,3,1
Perrysburg,OH,Ohio,Wood,41.5377,-83.6413,21626,702,FALSE,TRUE,FALSE,America/New_York,3,2
Lewistown,PA,Pennsylvania,Mifflin,40.5964,-77.573,21614,1545,FALSE,TRUE,FALSE,America/New_York,3,1
Hamtramck,MI,Michigan,Wayne,42.3954,-83.056,21599,3980,FALSE,TRUE,FALSE,America/Detroit,2,2
Bellview,FL,Florida,Escambia,30.462,-87.312,21515,713,FALSE,FALSE,FALSE,America/Chicago,3,1
Biddeford,ME,Maine,York,43.4674,-70.4512,21504,275,FALSE,TRUE,FALSE,America/New_York,3,3
McNair,VA,Virginia,Fairfax,38.9513,-77.4116,21485,4062,FALSE,TRUE,FALSE,America/New_York,2,1
Villa Park,IL,Illinois,DuPage,41.8864,-87.9779,21483,1757,FALSE,TRUE,FALSE,America/Chicago,3,1
Fernley,NV,Nevada,Lyon,39.5611,-119.1926,21476,67,FALSE,TRUE,FALSE,America/Los_Angeles,3,1
Elkridge,MD,Maryland,Howard,39.1941,-76.7427,21458,987,FALSE,FALSE,FALSE,America/New_York,3,1
Mukilteo,WA,Washington,Snohomish,47.9096,-122.3035,21441,1323,FALSE,TRUE,FALSE,America/Los_Angeles,3,1
Atoka,TN,Tennessee,Tipton,35.4239,-89.7861,21428,303,FALSE,TRUE,FALSE,America/Chicago,3,2
Prichard,AL,Alabama,Mobile,30.7735,-88.1301,21428,326,FALSE,TRUE,FALSE,America/Chicago,3,5
Hays,KS,Kansas,Ellis,38.8815,-99.3218,21421,955,FALSE,TRUE,FALSE,America/Chicago,3,1
Easley,SC,South Carolina,Pickens,34.819,-82.5828,21364,661,FALSE,TRUE,FALSE,America/New_York,3,2
Brambleton,VA,Virginia,Loudoun,38.9802,-77.5323,21358,1433,FALSE,FALSE,FALSE,America/New_York,3,1
Mountlake Terrace,WA,Washington,Snohomish,47.7921,-122.3076,21338,2031,FALSE,TRUE,FALSE,America/Los_Angeles,2,1
Ramona,CA,California,San Diego,33.0474,-116.8767,21323,214,FALSE,FALSE,FALSE,America/Los_Angeles,3,1
Owosso,MI,Michigan,Shiawassee,42.9955,-84.176,21315,1062,FALSE,TRUE,FALSE,America/Detroit,3,1
King of Prussia,PA,Pennsylvania,Montgomery,40.0963,-75.382,21313,969,FALSE,FALSE,FALSE,America/New_York,3,2
DeBary,FL,Florida,Volusia,28.8815,-81.324,21305,433,FALSE,TRUE,FALSE,America/New_York,3,2
Eustis,FL,Florida,Lake,28.856,-81.6781,21303,784,FALSE,TRUE,FALSE,America/New_York,3,3
South Euclid,OH,Ohio,Cuyahoga,41.5239,-81.5245,21297,1768,FALSE,TRUE,FALSE,America/New_York,3,2
South Holland,IL,Illinois,Cook,41.5977,-87.6022,21296,1136,FALSE,TRUE,FALSE,America/Chicago,3,1
Palm Valley,FL,Florida,St. Johns,30.2011,-81.3949,21292,675,FALSE,FALSE,FALSE,America/New_York,3,1
North Plainfield,NJ,New Jersey,Somerset,40.6209,-74.4386,21289,2927,FALSE,TRUE,FALSE,America/New_York,2,2
Sapulpa,OK,Oklahoma,Creek,36.0089,-96.1006,21278,348,FALSE,TRUE,FALSE,America/Chicago,3,3
Duarte,CA,California,Los Angeles,34.161,-117.9504,21271,1224,FALSE,TRUE,FALSE,America/Los_Angeles,3,2
Battle Ground,WA,Washington,Clark,45.7765,-122.5413,21252,964,FALSE,TRUE,FALSE,America/Los_Angeles,3,1
Stephenville,TX,Texas,Erath,32.2148,-98.2205,21247,690,FALSE,TRUE,FALSE,America/Chicago,3,2
Amsterdam,NY,New York,Montgomery,42.942,-74.1907,21241,1168,FALSE,TRUE,FALSE,America/New_York,3,1
Park Forest,IL,Illinois,Cook,41.4817,-87.6868,21210,1650,FALSE,TRUE,FALSE,America/Chicago,3,1
Fort Atkinson,WI,Wisconsin,Jefferson,42.9253,-88.8441,21196,847,FALSE,TRUE,FALSE,America/Chicago,3,1
Hazel Dell,WA,Washington,Clark,45.6797,-122.6553,21196,1692,FALSE,FALSE,FALSE,America/Los_Angeles,3,1
Carrboro,NC,North Carolina,Orange,35.926,-79.0878,21190,1263,FALSE,TRUE,FALSE,America/New_York,3,2
Bardstown,KY,Kentucky,Nelson,37.8174,-85.4548,21184,420,FALSE,TRUE,FALSE,America/New_York,3,1
East Ridge,TN,Tennessee,Hamilton,34.9973,-85.2284,21182,987,FALSE,TRUE,FALSE,America/New_York,3,1
Elko,NV,Nevada,Elko,40.8387,-115.7674,21179,442,FALSE,TRUE,FALSE,America/Los_Angeles,3,1
Gaffney,SC,South Carolina,Cherokee,35.0742,-81.6558,21169,583,FALSE,TRUE,FALSE,America/New_York,3,2
Sun Valley,NV,Nevada,Washoe,39.6106,-119.7765,21159,549,FALSE,FALSE,FALSE,America/Los_Angeles,3,1
Sidney,OH,Ohio,Shelby,40.2891,-84.1667,21148,659,FALSE,TRUE,FALSE,America/New_York,3,2
Bonney Lake,WA,Washington,Pierce,47.1791,-122.17,21148,993,FALSE,TRUE,FALSE,America/Los_Angeles,3,1
Martha Lake,WA,Washington,Snohomish,47.8479,-122.2327,21129,1791,FALSE,FALSE,FALSE,America/Los_Angeles,3,3
Bothell West,WA,Washington,Snohomish,47.8056,-122.2401,21115,1965,FALSE,TRUE,FALSE,America/Los_Angeles,3,3
Ballenger Creek,MD,Maryland,Frederick,39.3807,-77.4205,21080,753,FALSE,FALSE,FALSE,America/New_York,3,2
Rolla,MO,Missouri,Phelps,37.9458,-91.7608,21059,650,FALSE,TRUE,FALSE,America/Chicago,3,3
West Pensacola,FL,Florida,Escambia,30.4263,-87.2679,21056,1133,FALSE,FALSE,FALSE,America/Chicago,3,3
Cockeysville,MD,Maryland,Baltimore,39.4793,-76.63,21038,713,FALSE,FALSE,FALSE,America/New_York,3,4
Pleasant Prairie,WI,Wisconsin,Kenosha,42.5266,-87.8895,21034,243,FALSE,TRUE,FALSE,America/Chicago,3,2
Sweetwater,FL,Florida,Miami-Dade,25.7786,-80.376,20994,3699,FALSE,TRUE,FALSE,America/New_York,2,2
St. Andrews,SC,South Carolina,Richland,34.051,-81.1057,20990,1308,FALSE,FALSE,FALSE,America/New_York,3,3
Milwaukie,OR,Oregon,Clackamas,45.4447,-122.6221,20990,1653,FALSE,TRUE,FALSE,America/Los_Angeles,3,2
Bryant,AR,Arkansas,Saline,34.6152,-92.4914,20968,395,FALSE,TRUE,FALSE,America/Chicago,3,3
Salmon Creek,WA,Washington,Clark,45.7099,-122.6632,20956,1274,FALSE,FALSE,FALSE,America/Los_Angeles,3,2
Kill Devil Hills,NC,North Carolina,Dare,36.0167,-75.6699,20951,503,FALSE,TRUE,FALSE,America/New_York,3,1
North Salt Lake,UT,Utah,Davis,40.8439,-111.9187,20948,955,FALSE,TRUE,FALSE,America/Denver,3,1
Apollo Beach,FL,Florida,Hillsborough,27.7618,-82.4002,20947,408,FALSE,FALSE,FALSE,America/New_York,3,2
Guayama,PR,Puerto Rico,Guayama,17.9744,-66.1104,20913,2208,FALSE,FALSE,FALSE,America/Puerto_Rico,2,2
Cornelia,GA,Georgia,Habersham,34.517,-83.531,20913,435,FALSE,TRUE,FALSE,America/New_York,3,1
Suwanee,GA,Georgia,Gwinnett,34.0506,-84.0687,20907,742,FALSE,TRUE,FALSE,America/New_York,3,1
New Hope,MN,Minnesota,Hennepin,45.0374,-93.3869,20907,1596,FALSE,TRUE,FALSE,America/Chicago,3,2
Wade Hampton,SC,South Carolina,Greenville,34.8821,-82.3336,20906,906,FALSE,FALSE,FALSE,America/New_York,3,4
Green Valley,AZ,Arizona,Pima,31.8436,-111.0174,20902,251,FALSE,FALSE,FALSE,America/Phoenix,3,2
Mill Creek,WA,Washington,Snohomish,47.8631,-122.2037,20897,1737,FALSE,TRUE,FALSE,America/Los_Angeles,3,2
Universal City,TX,Texas,Bexar,29.5521,-98.3074,20890,1448,FALSE,TRUE,FALSE,America/Chicago,3,1
Lorton,VA,Virginia,Fairfax,38.6984,-77.2163,20871,1507,FALSE,FALSE,FALSE,America/New_York,3,2
Clemmons,NC,North Carolina,Forsyth,36.0319,-80.3861,20867,678,FALSE,TRUE,FALSE,America/New_York,3,2
Rosamond,CA,California,Kern,34.8658,-118.2154,20851,154,FALSE,FALSE,FALSE,America/Los_Angeles,3,1
Bear,DE,Delaware,New Castle,39.6188,-75.6804,20850,1409,FALSE,FALSE,FALSE,America/New_York,3,2
Dyersburg,TN,Tennessee,Dyer,36.0465,-89.3777,20839,363,FALSE,TRUE,FALSE,America/Chicago,3,2
Oneida,NY,New York,Madison,43.0769,-75.6621,20828,190,FALSE,TRUE,FALSE,America/New_York,3,1
Hunters Creek,FL,Florida,Orange,28.3611,-81.4357,20817,1142,FALSE,FALSE,FALSE,America/New_York,3,1
Holiday,FL,Florida,Pasco,28.1864,-82.7429,20816,1509,FALSE,FALSE,FALSE,America/New_York,3,3
Dixon,CA,California,Solano,38.4468,-121.8249,20803,1131,FALSE,TRUE,FALSE,America/Los_Angeles,3,1
Golden,CO,Colorado,Jefferson,39.7406,-105.2118,20767,831,FALSE,TRUE,FALSE,America/Denver,3,4
Olean,NY,New York,Cattaraugus,42.0819,-78.4321,20755,879,FALSE,TRUE,FALSE,America/New_York,3,1
Grayslake,IL,Illinois,Lake,42.3402,-88.0338,20725,728,FALSE,TRUE,FALSE,America/Chicago,3,1
North Bellmore,NY,New York,Nassau,40.6904,-73.539,20718,3052,FALSE,FALSE,FALSE,America/New_York,2,1
Palisades Park,NJ,New Jersey,Bergen,40.8472,-73.9967,20715,6455,FALSE,TRUE,FALSE,America/New_York,2,1
South Milwaukee,WI,Wisconsin,Milwaukee,42.912,-87.8627,20696,1654,FALSE,TRUE,FALSE,America/Chicago,3,1
Havelock,NC,North Carolina,Craven,34.9078,-76.8987,20677,448,FALSE,TRUE,FALSE,America/New_York,3,2
Lake Ronkonkoma,NY,New York,Suffolk,40.8308,-73.1112,20667,1616,FALSE,FALSE,FALSE,America/New_York,3,2
East Moline,IL,Illinois,Rock Island,41.5199,-90.3879,20645,545,FALSE,TRUE,FALSE,America/Chicago,3,3
Yorkville,IL,Illinois,Kendall,41.6562,-88.4507,20613,398,FALSE,TRUE,FALSE,America/Chicago,3,2
Logansport,IN,Indiana,Cass,40.7472,-86.3519,20608,648,FALSE,TRUE,FALSE,America/Indiana/Indianapolis,3,1
North Ogden,UT,Utah,Weber,41.3123,-111.9585,20582,1066,FALSE,TRUE,FALSE,America/Denver,3,1
South El Monte,CA,California,Los Angeles,34.0493,-118.0484,20574,2793,FALSE,TRUE,FALSE,America/Los_Angeles,2,1
Lynn Haven,FL,Florida,Bay,30.2337,-85.637,20525,758,FALSE,TRUE,FALSE,America/Chicago,3,3
Ferguson,MO,Missouri,St. Louis,38.749,-90.295,20525,1283,FALSE,TRUE,FALSE,America/Chicago,3,2
Willmar,MN,Minnesota,Kandiyohi,45.122,-95.0569,20510,549,FALSE,TRUE,FALSE,America/Chicago,3,1
Alice,TX,Texas,Jim Wells,27.7556,-98.0653,20510,601,FALSE,TRUE,FALSE,America/Chicago,3,2
Swansboro,NC,North Carolina,Onslow,34.6958,-77.1368,20507,573,FALSE,TRUE,FALSE,America/New_York,3,1
Murphy,TX,Texas,Collin,33.0186,-96.6105,20500,1392,FALSE,TRUE,FALSE,America/Chicago,3,1
Culpeper,VA,Virginia,Culpeper,38.4705,-78.0001,20485,1002,FALSE,TRUE,FALSE,America/New_York,3,1
Ozark,MO,Missouri,Christian,37.0361,-93.2155,20482,706,FALSE,TRUE,FALSE,America/Chicago,3,1
American Canyon,CA,California,Napa,38.1796,-122.2583,20475,1298,FALSE,TRUE,FALSE,America/Los_Angeles,3,1
Papillion,NE,Nebraska,Sarpy,41.1516,-96.0679,20471,800,FALSE,TRUE,FALSE,America/Chicago,3,2
The Dalles,OR,Oregon,Wasco,45.6053,-121.1818,20442,913,FALSE,TRUE,FALSE,America/Los_Angeles,3,1
Columbia Heights,MN,Minnesota,Anoka,45.0484,-93.2472,20427,2327,FALSE,TRUE,FALSE,America/Chicago,2,1
Barre,VT,Vermont,Washington,44.1997,-72.5083,20421,834,FALSE,TRUE,FALSE,America/New_York,3,1
Amherst Center,MA,Massachusetts,Hampshire,42.3757,-72.5188,20409,1594,FALSE,FALSE,FALSE,America/New_York,3,3
Crest Hill,IL,Illinois,Will,41.5723,-88.1124,20376,872,FALSE,TRUE,FALSE,America/Chicago,3,2
Punta Gorda,FL,Florida,Charlotte,26.8933,-82.0516,20369,506,FALSE,TRUE,FALSE,America/New_York,3,1
Neabsco,VA,Virginia,Prince William,38.6083,-77.2847,20364,1706,FALSE,TRUE,FALSE,America/New_York,3,1
Poplar Bluff,MO,Missouri,Butler,36.7632,-90.4136,20359,497,FALSE,TRUE,FALSE,America/Chicago,3,2
Ennis,TX,Texas,Ellis,32.3255,-96.635,20357,242,FALSE,TRUE,FALSE,America/Chicago,3,2
Tukwila,WA,Washington,King,47.4749,-122.2727,20347,855,FALSE,TRUE,FALSE,America/Los_Angeles,3,6
Prunedale,CA,California,Monterey,36.8064,-121.6555,20327,170,FALSE,FALSE,FALSE,America/Los_Angeles,3,3
Lomita,CA,California,Los Angeles,33.7933,-118.3175,20320,4103,FALSE,TRUE,FALSE,America/Los_Angeles,2,1
Payson,UT,Utah,Utah,40.036,-111.7395,20303,620,FALSE,TRUE,FALSE,America/Denver,3,1
Mountain Brook,AL,Alabama,Jefferson,33.4871,-86.74,20297,611,FALSE,TRUE,FALSE,America/Chicago,3,4
Glassboro,NJ,New Jersey,Gloucester,39.7014,-75.1113,20288,840,FALSE,TRUE,FALSE,America/New_York,3,1
Bayshore Gardens,FL,Florida,Manatee,27.4345,-82.5794,20287,2225,FALSE,FALSE,FALSE,America/New_York,2,2
Shenandoah,LA,Louisiana,East Baton Rouge,30.4019,-91.002,20252,1261,FALSE,FALSE,FALSE,America/Chicago,3,1
Cherry Hill,VA,Virginia,Prince William,38.5696,-77.2895,20241,1001,FALSE,FALSE,FALSE,America/New_York,3,2
Linda,CA,California,Yuba,39.1241,-121.5421,20228,909,FALSE,FALSE,FALSE,America/Los_Angeles,3,2
Agoura Hills,CA,California,Los Angeles,34.151,-118.7608,20222,1000,FALSE,TRUE,FALSE,America/Los_Angeles,3,2
East Hemet,CA,California,Riverside,33.7301,-116.941,20211,1500,FALSE,FALSE,FALSE,America/Los_Angeles,3,1
Libertyville,IL,Illinois,Lake,42.287,-87.967,20205,885,FALSE,TRUE,FALSE,America/Chicago,3,1
Durango,CO,Colorado,La Plata,37.2659,-107.8782,20203,498,FALSE,TRUE,FALSE,America/Denver,3,2
East Northport,NY,New York,Suffolk,40.8792,-73.3232,20190,1509,FALSE,FALSE,FALSE,America/New_York,3,2
Howard,WI,Wisconsin,Brown,44.5703,-88.092,20177,422,FALSE,TRUE,FALSE,America/Chicago,3,2
Monmouth,OR,Oregon,Polk,44.8505,-123.2283,20172,1880,FALSE,TRUE,FALSE,America/Los_Angeles,3,2
Ypsilanti,MI,Michigan,Washtenaw,42.2437,-83.6205,20171,1842,FALSE,TRUE,FALSE,America/Detroit,3,2
Mokena,IL,Illinois,Will,41.5327,-87.8779,20159,884,FALSE,TRUE,FALSE,America/Chicago,3,1
Pleasantville,NJ,New Jersey,Atlantic,39.39,-74.5169,20149,1359,FALSE,TRUE,FALSE,America/New_York,3,1
Affton,MO,Missouri,St. Louis,38.5499,-90.3264,20148,1702,FALSE,FALSE,FALSE,America/Chicago,3,1
Bartow,FL,Florida,Polk,27.8868,-81.8213,20147,168,FALSE,TRUE,FALSE,America/New_York,3,4
Mead Valley,CA,California,Riverside,33.8333,-117.2852,20145,407,FALSE,FALSE,FALSE,America/Los_Angeles,3,1
Miamisburg,OH,Ohio,Montgomery,39.6323,-84.2725,20143,637,FALSE,TRUE,FALSE,America/New_York,3,3
Merrick,NY,New York,Nassau,40.6515,-73.5535,20130,1952,FALSE,FALSE,FALSE,America/New_York,3,2
Escanaba,MI,Michigan,Delta,45.7477,-87.09,20094,368,FALSE,TRUE,FALSE,America/Detroit,3,1
Selden,NY,New York,Suffolk,40.8699,-73.0462,20093,1795,FALSE,FALSE,FALSE,America/New_York,3,1
Bayou Cane,LA,Louisiana,Terrebonne,29.6244,-90.751,20093,1020,FALSE,FALSE,FALSE,America/Chicago,3,2
Mililani Mauka,HI,Hawaii,Honolulu,21.4756,-157.9947,20090,1949,FALSE,TRUE,FALSE,Pacific/Honolulu,3,1
Snellville,GA,Georgia,Gwinnett,33.8563,-84.0038,20077,740,FALSE,TRUE,FALSE,America/New_York,3,1
Sulphur,LA,Louisiana,Calcasieu,30.2286,-93.3565,20065,690,FALSE,TRUE,FALSE,America/Chicago,3,2
South St. Paul,MN,Minnesota,Dakota,44.8876,-93.0411,20060,1377,FALSE,TRUE,FALSE,America/Chicago,3,1
Oregon,OH,Ohio,Lucas,41.6528,-83.4322,20055,271,FALSE,TRUE,FALSE,America/New_York,3,1
Middleton,WI,Wisconsin,Dane,43.1065,-89.5058,20034,866,FALSE,TRUE,FALSE,America/Chicago,3,2
