city,state_id,state,county,lat,long,population,density,military,incorporated,capital,timezone,ranking,zips
Oklahoma City,OK,Oklahoma,Oklahoma,35.4676,-97.5136,972943,417,FALSE,TRUE,TRUE,America/Chicago,2,77
Bridgeport,CT,Connecticut,Fairfield,41.1918,-73.1953,924449,3470,FALSE,TRUE,FALSE,America/New_York,2,8
Buffalo,NY,New York,Erie,42.9016,-78.8487,914341,2441,FALSE,TRUE,FALSE,America/New_York,2,30
Fort Worth,TX,Texas,Tarrant,32.7811,-97.3473,909585,1016,FALSE,TRUE,FALSE,America/Chicago,2,61
Hartford,CT,Connecticut,Hartford,41.7661,-72.6834,905152,2712,FALSE,TRUE,TRUE,America/New_York,2,32
Tucson,AZ,Arizona,Pima,32.1545,-110.8782,888486,889,FALSE,TRUE,FALSE,America/Phoenix,2,35
Omaha,NE,Nebraska,Douglas,41.2627,-96.0522,847819,1309,FALSE,TRUE,FALSE,America/Chicago,2,43
El Paso,TX,Texas,El Paso,31.8479,-106.4309,843386,1022,FALSE,TRUE,FALSE,America/Denver,2,103
Honolulu,HI,Hawaii,Honolulu,21.3294,-157.846,820987,2200,FALSE,TRUE,TRUE,Pacific/Honolulu,2,41
McAllen,TX,Texas,Hidalgo,26.2273,-98.2471,804114,841,FALSE,TRUE,FALSE,America/Chicago,2,6
Albuquerque,NM,New Mexico,Bernalillo,35.1053,-106.6464,761195,1155,FALSE,TRUE,FALSE,America/Denver,2,34
Birmingham,AL,Alabama,Jefferson,33.5277,-86.7987,739573,553,FALSE,TRUE,FALSE,America/Chicago,2,50
Sarasota,FL,Florida,Sarasota,27.3386,-82.5431,722243,1528,FALSE,TRUE,FALSE,America/New_York,2,6
Dayton,OH,Ohio,Montgomery,39.7797,-84.1998,718353,978,FALSE,TRUE,FALSE,America/New_York,2,21
Rochester,NY,New York,Monroe,43.168,-77.6162,703952,2220,FALSE,TRUE,FALSE,America/New_York,2,30
Fresno,CA,California,Fresno,36.7831,-119.7941,703498,1789,FALSE,TRUE,FALSE,America/Los_Angeles,2,50
Allentown,PA,Pennsylvania,Lehigh,40.5961,-75.4756,683794,2672,FALSE,TRUE,FALSE,America/New_York,2,7
Tulsa,OK,Oklahoma,Tulsa,36.1284,-95.9042,671033,784,FALSE,TRUE,FALSE,America/Chicago,2,50
Cape Coral,FL,Florida,Lee,26.6446,-81.9956,668382,708,FALSE,TRUE,FALSE,America/New_York,2,9
Concord,CA,California,Contra Costa,37.9722,-122.0016,652308,1633,FALSE,TRUE,FALSE,America/Los_Angeles,2,7
Colorado Springs,CO,Colorado,El Paso,38.8674,-104.7606,642413,946,FALSE,TRUE,FALSE,America/Denver,2,41
Charleston,SC,South Carolina,Charleston,32.8153,-79.9628,628377,480,FALSE,TRUE,FALSE,America/New_York,2,15
Springfield,MA,Massachusetts,Hampden,42.1155,-72.5395,623401,1860,FALSE,TRUE,FALSE,America/New_York,2,20
Grand Rapids,MI,Michigan,Kent,42.962,-85.6562,609314,1734,FALSE,TRUE,FALSE,America/Detroit,2,15
Mission Viejo,CA,California,Orange,33.6095,-117.655,590249,2058,FALSE,TRUE,FALSE,America/Los_Angeles,2,3
Albany,NY,New York,Albany,42.6664,-73.7987,586383,1740,FALSE,TRUE,TRUE,America/New_York,2,38
Knoxville,TN,Tennessee,Knox,35.9692,-83.9496,586048,733,FALSE,TRUE,FALSE,America/New_York,2,23
Bakersfield,CA,California,Kern,35.3529,-119.0359,579295,990,FALSE,TRUE,FALSE,America/Los_Angeles,2,17
Ogden,UT,Utah,Weber,41.2278,-111.9682,578523,1230,FALSE,TRUE,FALSE,America/Denver,2,8
Baton Rouge,LA,Louisiana,East Baton Rouge,30.4418,-91.131,570308,983,FALSE,TRUE,TRUE,America/Chicago,2,33
Akron,OH,Ohio,Summit,41.0798,-81.5219,565208,1231,FALSE,TRUE,FALSE,America/New_York,2,25
New Haven,CT,Connecticut,New Haven,41.3112,-72.9246,564830,2690,FALSE,TRUE,FALSE,America/New_York,2,24
Columbia,SC,South Carolina,Richland,34.0376,-80.9037,560041,373,FALSE,TRUE,TRUE,America/New_York,2,24
Mesa,AZ,Arizona,Maricopa,33.4017,-111.718,518012,1448,FALSE,TRUE,FALSE,America/Phoenix,2,19
Palm Bay,FL,Florida,Brevard,27.955,-80.6627,507002,456,FALSE,TRUE,FALSE,America/New_York,2,10
Provo,UT,Utah,Utah,40.2457,-111.6457,500617,1080,FALSE,TRUE,FALSE,America/Denver,2,6
Worcester,MA,Massachusetts,Worcester,42.2705,-71.8079,498328,1916,FALSE,TRUE,FALSE,America/New_York,2,15
Murrieta,CA,California,Riverside,33.572,-117.1909,496046,1335,FALSE,TRUE,FALSE,America/Los_Angeles,2,2
Greenville,SC,South Carolina,Greenville,34.8353,-82.3647,484465,920,FALSE,TRUE,FALSE,America/New_York,2,10
Wichita,KS,Kansas,Sedgwick,37.6896,-97.3442,482249,931,FALSE,TRUE,FALSE,America/Chicago,2,29
Toledo,OH,Ohio,Lucas,41.6639,-83.5822,482111,1308,FALSE,TRUE,FALSE,America/New_York,2,29
Staten Island,NY,New York,Richmond,40.5834,-74.1496,476143,3156,FALSE,TRUE,FALSE,America/New_York,2,12
Des Moines,IA,Iowa,Polk,41.5725,-93.6105,473957,938,FALSE,TRUE,TRUE,America/Chicago,2,44
Long Beach,CA,California,Los Angeles,33.7981,-118.1675,462628,3523,FALSE,TRUE,FALSE,America/Los_Angeles,2,23
Port St. Lucie,FL,Florida,St. Lucie,27.2796,-80.3883,461152,653,FALSE,TRUE,FALSE,America/New_York,2,7
Denton,TX,Texas,Denton,33.2176,-97.1419,457177,567,FALSE,TRUE,FALSE,America/Chicago,2,11
Madison,WI,Wisconsin,Dane,43.0826,-89.3931,447245,1263,FALSE,TRUE,TRUE,America/Chicago,2,29
